director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,avatar
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: at world's end
Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spectre
Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,the dark knight rises
Doug Walker,Documentary,Doug Walker,Rob Walker,unknown,star wars: episode vii - the force awakens            
Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,john carter
Sam Raimi,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 3
Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,tangled
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,avengers: age of ultron
David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,harry potter and the half-blood prince
Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,batman v superman: dawn of justice
Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,superman returns
Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest
Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger
Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel
Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,the avengers
Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies
Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man
Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,robin hood
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug
Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass
Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,king kong
James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic
Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world
Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,skyfall
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3
Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice in wonderland
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen
Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction
Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,oz the great and powerful
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2
Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,tron: legacy
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3
McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,terminator salvation
James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,furious 7
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,world war z
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness
Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer
Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,the great gatsby
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon
Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,brave
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,2012
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,a christmas carol
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe"
