director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,combo
James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,avatar,James Cameron CCH Pounder Joel David Moore Wes Studi Action Adventure Fantasy Sci-Fi
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: at world's end,Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spectre,Sam Mendes Christoph Waltz Rory Kinnear Stephanie Sigman Action Adventure Thriller
Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,the dark knight rises,Christopher Nolan Tom Hardy Christian Bale Joseph Gordon-Levitt Action Thriller
Doug Walker,Documentary,Doug Walker,Rob Walker,unknown,star wars: episode vii - the force awakens            ,Doug Walker Doug Walker Rob Walker unknown Documentary
Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,john carter,Andrew Stanton Daryl Sabara Samantha Morton Polly Walker Action Adventure Sci-Fi
Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,tangled,Nathan Greno Brad Garrett Donna Murphy M.C. Gainey Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,avengers: age of ultron,Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,harry potter and the half-blood prince,David Yates Alan Rickman Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,batman v superman: dawn of justice,Zack Snyder Henry Cavill Lauren Cohan Alan D. Purwin Action Adventure Sci-Fi
Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,superman returns,Bryan Singer Kevin Spacey Marlon Brando Frank Langella Action Adventure Sci-Fi
Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace,Marc Forster Giancarlo Giannini Mathieu Amalric Rory Kinnear Action Adventure
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest,Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger,Gore Verbinski Johnny Depp Ruth Wilson Tom Wilkinson Action Adventure Western
Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel,Zack Snyder Henry Cavill Christopher Meloni Harry Lennix Action Adventure Fantasy Sci-Fi
Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian,Andrew Adamson Peter Dinklage Pierfrancesco Favino Damián Alcázar Action Adventure Family Fantasy
Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides,Rob Marshall Johnny Depp Sam Claflin Stephen Graham Action Adventure Fantasy
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3,Barry Sonnenfeld Will Smith Michael Stuhlbarg Nicole Scherzinger Action Adventure Comedy Family Fantasy Sci-Fi
